,Noise_Type,Kurtosis_Wiener_R,Kurtosis_Wiener_G,Kurtosis_Wiener_B,Kurtosis_Median_R,Kurtosis_Median_G,Kurtosis_Median_B,Skewness_Wiener_R,Skewness_Wiener_G,Skewness_Wiener_B,Skewness_Median_R,Skewness_Median_G,Skewness_Median_B
116,3,65.38494816641695,66.80052682637188,33.88093589415106,-1.9591693794512943,61.90512454461613,-1.949767782847412,4.081689681981803,4.052744299778706,2.7228458957448805,0.16046465944324514,-6.308544070975701,0.18779848278458816
117,0,98.80627844980096,97.07492294499806,66.23925799788543,-1.281133137929637,-1.2753629764736654,-1.3177525459978694,8.613047007136107,8.545931062854978,6.167678192896265,0.8473618252984697,0.8507673086611464,0.8254584955625414
118,1,50.811048585621954,55.22550871504304,357.0223296365329,-1.9610614779817677,-1.9684663302632177,-1.9601881340394767,4.68845887443417,5.048143918158803,8.632322919446223,0.16662210802517938,0.14226289800274702,0.16862108384759897
119,3,38.12015340119629,46.50191567565639,28329.856635026124,-1.95962262657557,13.294545501288464,-1.9514614894764,3.11540508275567,3.4112352969986866,-129.1730249574513,0.15928442933785458,-0.934340264673849,0.1832210565351409
120,0,100.49093028603937,104.37698765804542,109.60689365287834,-1.0819632752077142,-1.0676222216185154,-1.2189029339653539,8.52308815215396,8.702371717338409,8.901334640698751,0.9574716206072241,0.9649389359910026,0.883075492352581
121,1,57.95829958621459,50.63366175644242,42.507537974278755,-1.9596003631188808,-1.968794434502415,-1.9696953929256784,2.8445397292788708,2.8628635672136364,3.387760760626734,0.16938727387272823,0.14002318637412473,0.13645458237087554
122,3,57.13386975656156,42.450690394711316,32.16172937484104,-1.9579457254884451,-1.8812986760652735,-1.9629566627083583,2.41866451125868,2.2811903092818637,2.025306150115333,0.16237880015453354,-0.30410512929851535,0.1459288583351602
123,0,120.84525143837153,115.1479643896179,1151.9363511482802,-0.5723450188271006,-0.5699935680387287,-0.6683787102994052,8.665433261573815,8.4936553039976,-16.320594274640897,1.1946674622871705,1.1956470772114716,1.153734507532209
124,1,1451.9230363608435,242.13562274274202,19000.079015431187,-1.9733656948756333,-1.9594164900250213,-1.9650263763421998,-11.548817597729633,7.504756961579981,113.70773252939617,0.1239078956817654,0.17157925637173455,0.15510498356931235
125,3,1882.2862605086746,189.69192856653476,75053.01883560157,-1.9616076427443516,-1.8529151516860918,-1.9517104974392865,-14.859365394858898,6.696383215554837,271.20718992716206,0.1522802640027896,-0.3302621929942272,0.1833363325258377
126,0,100.03032527701652,99.61826511811316,101.86631232415863,-0.7774620588981134,-0.7409970312955974,-0.8049650131813024,8.88551368080203,8.875605456983788,8.886227448903416,1.1054969066959315,1.1218707703324458,1.0929847725969568
127,1,65.20606451401432,68.673288276854,65.21896333907216,-1.968090285957684,-1.9623474821109383,-1.9737972362563325,5.745850078168676,5.830760376558388,5.583826466299185,0.14474913109626777,0.16321170730278556,0.12404869914977994
128,3,44.380276008212356,40.0849385339011,51.82023950878432,-1.9577172860749843,-0.6771215926278575,-1.9669909521046167,3.909756108746491,3.5689759735313533,3.895970502556712,0.16562314099718822,-1.1356353782142168,0.13599844058837135
129,0,115.41588536751811,103.39619592386211,100.41228954520321,-1.0623096045312692,-1.0639304283574662,-1.1885736501589608,9.278829293538536,8.937164332853618,8.475215334428635,0.9679809073441906,0.9671489804621752,0.9003963512345398
130,1,73.37075247776792,55.97645409581653,55.65862755415794,-1.9643284753555623,-1.9599776584769322,-1.9682233082456195,6.20695148444359,5.649787179051427,3.829260792073066,0.15707906799921134,0.16955839968119513,0.14434943202114855
131,3,999.8767828757204,29.814494880834907,37.81790669440202,-1.9603784359791192,41.12153256017997,-1.96180405994746,13.553094441551394,3.1364503945388296,2.682773191815159,0.15720777962935223,-4.579162069074295,0.15260544682421595
132,0,113.56348761448297,119.94543389239763,203.05662917309786,-0.0054890410715175975,-0.020481552904972666,-0.07432722100287492,9.682966046940395,9.791333029800725,11.066713511723725,1.4120884815577304,1.4067769288175727,1.3875016530401345
133,1,17.21588001198119,19.28323195470672,161.43225528013198,-1.9052989374358371,-1.897173855890619,-1.9133304514006533,1.0519005963859307,1.3649297518313415,4.967980410062045,0.2884623060869028,0.3023416860889987,0.27512433185142304
134,3,100.17840492730689,17.411374834082814,4745.440991838502,-1.8932215503996819,-1.9225830158010275,-1.9053741750606714,3.6244570651862684,1.3042891601933688,38.65221210755482,0.30211063072594246,0.18866438030394092,0.2826340882166494
135,0,116.16949285200376,114.81785652754891,114.93883150122363,-0.7934077515759745,-0.7765051346148741,-0.8554235027133239,9.41892822210581,9.428169429087538,9.318090232514606,1.0982665123508781,1.105936122938718,1.0696574774589294
136,1,36.40787171143617,41.36881146058847,51.017626704115855,-1.9707298433959857,-1.9775468285865656,-1.9549993875820877,3.0666334311387686,3.2725813423010384,3.419253539042721,0.13504719735539705,0.10783613556711692,0.1847355486348945
137,3,38.4969569024625,55.43336558298447,29.904968085515357,-1.965717273688543,-1.6142819710521665,-1.953526907694721,2.5949756026966853,2.9491808750950512,2.397321516160206,0.13947350393772578,-0.6037884938557182,0.17828037914197487
138,0,97.09602682989117,132.1592383381681,91.44851636501042,-0.5858340124165884,-0.6035234488804799,-0.7767404455761895,9.019043019904126,9.798392358595581,8.861385944644914,1.1889756060380243,1.1815238233228058,1.1057826532179431
139,1,82.69371575523854,194.29748543039958,72.91645103166556,-1.9389904701739464,-1.9465397898946162,-1.9634492966635602,6.306868068599098,7.243636989700036,6.431149599729072,0.22332769113269998,0.2057823810529764,0.16042345649100972
140,3,88.33178681173771,88.80075146546872,49.52235949584379,-1.9404866489349353,-1.8876219013824662,-1.9630547945209063,4.311087556905176,3.478346414392785,3.9257362414007977,0.21122044596734976,-0.2912702285847054,0.14974010786410838
141,0,99.68580371401204,95.32203772350786,93.18274928283796,-0.8254397530023643,-0.8239828024246467,-0.9702739769597204,8.824170510521451,8.542222789755563,8.313402888152504,1.0833790833745096,1.0840475626112929,1.0143336396183302
142,1,68.20951431504723,87.34825838451601,44.09772233261382,-1.9402958360022866,-1.9290212857197921,-1.9583584511790073,3.9482733770088476,3.146014460803713,2.7633226571666967,0.21964501258937225,0.24409362470055573,0.1734632592480145
143,3,33.86884750942244,44.53938036860646,34.29368765851199,-1.9333310912977362,2.9538579927770705,-1.9556973623847538,2.1706503861185986,2.2055110808662093,2.590628559212974,0.2259697232654868,-2.1722624663300527,0.16979164575571515
144,0,1324.0387000785188,76.89760777610901,67.57740529685823,-0.8737485575981774,-0.813720666579798,-0.9086125441286317,19.8001902016825,6.572106687588965,5.598270153480363,1.060975640202432,1.088898027130245,1.0444085874936109
145,1,71060.33226334584,30575.152572525425,22115.19667750949,-1.9580501449786856,-1.955439516770634,-1.969270182089711,259.956106830124,116.01916649782838,-121.36514417860843,0.1757124634937762,0.18272972943650606,0.14045365803909285
146,3,54301.22120853628,23705.854638086825,60044.55190952733,-1.9510528971410952,-1.7019968656316808,-1.962018303389622,219.95764998107205,125.66117627481441,-219.60104590879274,0.1855217676324408,0.5006051050608271,0.15243961235081274
